% ESTAÇÃO A - JANEIRO DE 2008
% Dados hidrográficos-Quadratura # 16/01/08
% Serie com 26 perfis # início 05:30 h até 18:00 h
%    Prof. (m)        Temp             Sal            Dens
 -3.5000000e+000  2.8245000e+001  3.5194000e+001  1.0224624e+003
 -4.0000000e+000  2.8244000e+001  3.5198000e+001  1.0224657e+003
 -4.5000000e+000  2.8241000e+001  3.5204000e+001  1.0224712e+003
 -5.0000000e+000  2.8240000e+001  3.5202000e+001  1.0224701e+003
 -5.5000000e+000  2.8244000e+001  3.5209000e+001  1.0224740e+003
 -6.0000000e+000  2.8245000e+001  3.5211000e+001  1.0224752e+003
 -6.5000000e+000  2.8248000e+001  3.5214000e+001  1.0224765e+003
 -7.0000000e+000  2.8248000e+001  3.5222000e+001  1.0224825e+003
 -7.5000000e+000  2.8247000e+001  3.5217000e+001  1.0224790e+003
 -8.0000000e+000  2.8247000e+001  3.5220000e+001  1.0224813e+003
 -8.5000000e+000  2.8246000e+001  3.5221000e+001  1.0224824e+003
 -9.0000000e+000  2.8250000e+001  3.5218000e+001  1.0224788e+003
 -9.5000000e+000  2.8246000e+001  3.5220000e+001  1.0224816e+003
 -1.0000000e+001  2.8248000e+001  3.5218000e+001  1.0224795e+003
 -1.0500000e+001  2.8248000e+001  3.5218000e+001  1.0224795e+003
 -1.1000000e+001  2.8247000e+001  3.5220000e+001  1.0224813e+003
 -1.1500000e+001  2.8247000e+001  3.5221000e+001  1.0224821e+003
 -1.2000000e+001  2.8247000e+001  3.5222000e+001  1.0224828e+003
 -1.2370000e+001  2.8247000e+001  3.5222200e+001  1.0224848e+003
  0.0000000e+000  2.8280000e+001  3.4950000e+001  1.0223000e+003
 -5.0000000e-001  2.8258000e+001  3.5028000e+001  1.0223333e+003
 -1.0000000e+000  2.8244000e+001  3.5188000e+001  1.0224582e+003
 -1.5000000e+000  2.8190000e+001  3.5437000e+001  1.0226632e+003
 -2.0000000e+000  2.8184000e+001  3.5462000e+001  1.0226840e+003
 -2.5000000e+000  2.8185000e+001  3.5468000e+001  1.0226882e+003
 -3.0000000e+000  2.8185000e+001  3.5469000e+001  1.0226889e+003
 -3.5000000e+000  2.8185000e+001  3.5473000e+001  1.0226919e+003
 -4.0000000e+000  2.8183000e+001  3.5473000e+001  1.0226926e+003
 -4.5000000e+000  2.8183000e+001  3.5475000e+001  1.0226941e+003
 -5.0000000e+000  2.8183000e+001  3.5476000e+001  1.0226948e+003
 -5.5000000e+000  2.8180000e+001  3.5473000e+001  1.0226936e+003
 -6.0000000e+000  2.8180000e+001  3.5474000e+001  1.0226943e+003
 -6.5000000e+000  2.8180000e+001  3.5474000e+001  1.0226943e+003
 -7.0000000e+000  2.8180000e+001  3.5476000e+001  1.0226958e+003
 -7.5000000e+000  2.8182000e+001  3.5474000e+001  1.0226937e+003
 -8.0000000e+000  2.8185000e+001  3.5477000e+001  1.0226949e+003
 -8.5000000e+000  2.8185000e+001  3.5480000e+001  1.0226972e+003
 -9.0000000e+000  2.8183000e+001  3.5480000e+001  1.0226978e+003
 -9.5000000e+000  2.8181000e+001  3.5484000e+001  1.0227015e+003
 -1.0000000e+001  2.8180000e+001  3.5488000e+001  1.0227048e+003
 -1.0500000e+001  2.8181000e+001  3.5484000e+001  1.0227015e+003
 -1.1000000e+001  2.8181000e+001  3.5487000e+001  1.0227038e+003
 -1.1500000e+001  2.8180000e+001  3.5487000e+001  1.0227041e+003
 -1.2000000e+001  2.8181000e+001  3.5485000e+001  1.0227023e+003
 -1.2500000e+001  2.8182000e+001  3.5486000e+001  1.0227027e+003
  0.0000000e+000  2.8320000e+001  3.4779000e+001  1.0225100e+003
 -5.0000000e-001  2.8320000e+001  3.5030000e+001  1.0225145e+003
 -1.0000000e+000  2.8245000e+001  3.5317000e+001  1.0225549e+003
 -1.5000000e+000  2.8238000e+001  3.5395000e+001  1.0226158e+003
 -2.0000000e+000  2.8241000e+001  3.5412000e+001  1.0226276e+003
 -2.5000000e+000  2.8247000e+001  3.5532000e+001  1.0227159e+003
 -3.0000000e+000  2.8198000e+001  3.5564000e+001  1.0227561e+003
 -3.5000000e+000  2.8153000e+001  3.5573000e+001  1.0227776e+003
 -4.0000000e+000  2.8067000e+001  3.5581000e+001  1.0228119e+003
 -4.5000000e+000  2.8042000e+001  3.5585000e+001  1.0228231e+003
 -5.0000000e+000  2.8032000e+001  3.5584000e+001  1.0228256e+003
 -5.5000000e+000  2.8020000e+001  3.5585000e+001  1.0228303e+003
 -6.0000000e+000  2.8015000e+001  3.5585000e+001  1.0228319e+003
 -6.5000000e+000  2.7981000e+001  3.5587000e+001  1.0228446e+003
 -7.0000000e+000  2.7961000e+001  3.5584000e+001  1.0228489e+003
 -7.5000000e+000  2.7954000e+001  3.5588000e+001  1.0228542e+003
 -8.0000000e+000  2.7934000e+001  3.5598000e+001  1.0228682e+003
 -8.5000000e+000  2.7940000e+001  3.5597000e+001  1.0228655e+003
 -9.0000000e+000  2.7940000e+001  3.5598000e+001  1.0228663e+003
 -9.5000000e+000  2.7933000e+001  3.5600000e+001  1.0228701e+003
 -1.0000000e+001  2.7926000e+001  3.5603000e+001  1.0228746e+003
 -1.0500000e+001  2.7927000e+001  3.5603000e+001  1.0228743e+003
 -1.1000000e+001  2.7928000e+001  3.5603000e+001  1.0228739e+003
 -1.1500000e+001  2.7934000e+001  3.5598000e+001  1.0228682e+003
 -1.2000000e+001  2.7936000e+001  3.5597000e+001  1.0228668e+003
 -1.2500000e+001  2.7934000e+001  3.5597000e+001  1.0228675e+003
 -1.2620000e+001  2.7934000e+001  3.5597005e+001  1.0228675e+003
  0.0000000e+000  2.8229000e+001  3.5300000e+001  1.0225000e+003
 -5.0000000e-001  2.8229000e+001  3.5338000e+001  1.0225759e+003
 -1.0000000e+000  2.8227000e+001  3.5366000e+001  1.0225977e+003
 -1.5000000e+000  2.8250000e+001  3.5392000e+001  1.0226096e+003
 -2.0000000e+000  2.8267000e+001  3.5402000e+001  1.0226116e+003
 -2.5000000e+000  2.8265000e+001  3.5478000e+001  1.0226694e+003
 -3.0000000e+000  2.8197000e+001  3.5551000e+001  1.0227466e+003
 -3.5000000e+000  2.8174000e+001  3.5579000e+001  1.0227753e+003
 -4.0000000e+000  2.8150000e+001  3.5588000e+001  1.0227899e+003
 -4.5000000e+000  2.8146000e+001  3.5601000e+001  1.0228010e+003
 -5.0000000e+000  2.8133000e+001  3.5615000e+001  1.0228158e+003
 -5.5000000e+000  2.8130000e+001  3.5620000e+001  1.0228205e+003
 -6.0000000e+000  2.8130000e+001  3.5625000e+001  1.0228243e+003
 -6.5000000e+000  2.8115000e+001  3.5635000e+001  1.0228368e+003
 -7.0000000e+000  2.8010000e+001  3.5651000e+001  1.0228832e+003
 -7.5000000e+000  2.7930000e+001  3.5662000e+001  1.0229177e+003
 -8.0000000e+000  2.7889000e+001  3.5668000e+001  1.0229356e+003
 -8.5000000e+000  2.7864000e+001  3.5673000e+001  1.0229475e+003
 -9.0000000e+000  2.7844000e+001  3.5675000e+001  1.0229556e+003
 -9.5000000e+000  2.7827000e+001  3.5677000e+001  1.0229626e+003
 -1.0000000e+001  2.7827000e+001  3.5676000e+001  1.0229619e+003
 -1.0500000e+001  2.7826000e+001  3.5678000e+001  1.0229637e+003
 -1.1000000e+001  2.7826000e+001  3.5677000e+001  1.0229629e+003
 -1.1500000e+001  2.7827000e+001  3.5678000e+001  1.0229634e+003
 -1.2000000e+001  2.7828000e+001  3.5677000e+001  1.0229623e+003
 -1.2500000e+001  2.7826000e+001  3.5679000e+001  1.0229644e+003
 -1.2720000e+001  2.7826000e+001  3.5679000e+001  1.0229644e+003
  0.0000000e+000  2.8270000e+001  3.5424000e+001  1.0226215e+003
 -5.0000000e-001  2.8266000e+001  3.5424000e+001  1.0226284e+003
 -1.0000000e+000  2.8263000e+001  3.5431000e+001  1.0226347e+003
 -1.5000000e+000  2.8260000e+001  3.5456000e+001  1.0226545e+003
 -2.0000000e+000  2.8162000e+001  3.5603000e+001  1.0227972e+003
 -2.5000000e+000  2.8105000e+001  3.5627000e+001  1.0228340e+003
 -3.0000000e+000  2.8094000e+001  3.5630000e+001  1.0228399e+003
 -3.5000000e+000  2.8004000e+001  3.5651000e+001  1.0228852e+003
 -4.0000000e+000  2.7959000e+001  3.5663000e+001  1.0229090e+003
 -4.5000000e+000  2.7958000e+001  3.5666000e+001  1.0229115e+003
 -5.0000000e+000  2.7959000e+001  3.5664000e+001  1.0229097e+003
 -5.5000000e+000  2.7943000e+001  3.5671000e+001  1.0229202e+003
 -6.0000000e+000  2.7930000e+001  3.5677000e+001  1.0229290e+003
 -6.5000000e+000  2.7931000e+001  3.5675000e+001  1.0229271e+003
 -7.0000000e+000  2.7929000e+001  3.5678000e+001  1.0229301e+003
 -7.5000000e+000  2.7929000e+001  3.5676000e+001  1.0229285e+003
 -8.0000000e+000  2.7932000e+001  3.5677000e+001  1.0229283e+003
 -8.5000000e+000  2.7907000e+001  3.5684000e+001  1.0229418e+003
 -9.0000000e+000  2.7887000e+001  3.5690000e+001  1.0229528e+003
 -9.5000000e+000  2.7854000e+001  3.5698000e+001  1.0229696e+003
 -1.0000000e+001  2.7833000e+001  3.5703000e+001  1.0229802e+003
 -1.0500000e+001  2.7806000e+001  3.5716000e+001  1.0229988e+003
 -1.1000000e+001  2.7781000e+001  3.5726000e+001  1.0230145e+003
 -1.1500000e+001  2.7778000e+001  3.5728000e+001  1.0230170e+003
 -1.2000000e+001  2.7779000e+001  3.5728000e+001  1.0230167e+003
 -1.2500000e+001  2.7778000e+001  3.5727000e+001  1.0230162e+003
 -1.2800000e+001  2.7778000e+001  3.5727000e+001  1.0230162e+003
  0.0000000e+000  2.8347000e+001  3.5445000e+001  1.0226160e+003
 -5.0000000e-001  2.8347000e+001  3.5443000e+001  1.0226160e+003
 -1.0000000e+000  2.8342000e+001  3.5440000e+001  1.0226154e+003
 -1.5000000e+000  2.8355000e+001  3.5433000e+001  1.0226059e+003
 -2.0000000e+000  2.8358000e+001  3.5441000e+001  1.0226109e+003
 -2.5000000e+000  2.8273000e+001  3.5611000e+001  1.0227667e+003
 -3.0000000e+000  2.8248000e+001  3.5619000e+001  1.0227810e+003
 -3.5000000e+000  2.8190000e+001  3.5632000e+001  1.0228099e+003
 -4.0000000e+000  2.8163000e+001  3.5631000e+001  1.0228180e+003
 -4.5000000e+000  2.8122000e+001  3.5637000e+001  1.0228360e+003
 -5.0000000e+000  2.7972000e+001  3.5667000e+001  1.0229077e+003
 -5.5000000e+000  2.7932000e+001  3.5669000e+001  1.0229223e+003
 -6.0000000e+000  2.7924000e+001  3.5665000e+001  1.0229219e+003
 -6.5000000e+000  2.7917000e+001  3.5667000e+001  1.0229257e+003
 -7.0000000e+000  2.7900000e+001  3.5667000e+001  1.0229313e+003
 -7.5000000e+000  2.7879000e+001  3.5674000e+001  1.0229434e+003
 -8.0000000e+000  2.7849000e+001  3.5685000e+001  1.0229615e+003
 -8.5000000e+000  2.7842000e+001  3.5688000e+001  1.0229660e+003
 -9.0000000e+000  2.7825000e+001  3.5715000e+001  1.0229919e+003
 -9.5000000e+000  2.7831000e+001  3.5713000e+001  1.0229884e+003
 -1.0000000e+001  2.7822000e+001  3.5720000e+001  1.0229966e+003
 -1.0500000e+001  2.7822000e+001  3.5718000e+001  1.0229951e+003
 -1.1000000e+001  2.7819000e+001  3.5719000e+001  1.0229968e+003
 -1.1500000e+001  2.7820000e+001  3.5720000e+001  1.0229973e+003
 -1.2000000e+001  2.7798000e+001  3.5726000e+001  1.0230090e+003
 -1.2500000e+001  2.7775000e+001  3.5734000e+001  1.0230225e+003
 -1.2860000e+001  2.7775000e+001  3.5734000e+001  1.0230225e+003
  0.0000000e+000  2.8608000e+001  3.5415000e+001  1.0225280e+003
 -5.0000000e-001  2.8608000e+001  3.5441000e+001  1.0225282e+003
 -1.0000000e+000  2.8580000e+001  3.5467000e+001  1.0225570e+003
 -1.5000000e+000  2.8574000e+001  3.5467000e+001  1.0225590e+003
 -2.0000000e+000  2.8569000e+001  3.5473000e+001  1.0225652e+003
 -2.5000000e+000  2.8507000e+001  3.5514000e+001  1.0226165e+003
 -3.0000000e+000  2.8501000e+001  3.5524000e+001  1.0226260e+003
 -3.5000000e+000  2.8473000e+001  3.5544000e+001  1.0226503e+003
 -4.0000000e+000  2.8411000e+001  3.5588000e+001  1.0227039e+003
 -4.5000000e+000  2.8359000e+001  3.5621000e+001  1.0227459e+003
 -5.0000000e+000  2.8332000e+001  3.5636000e+001  1.0227661e+003
 -5.5000000e+000  2.8266000e+001  3.5654000e+001  1.0228014e+003
 -6.0000000e+000  2.8119000e+001  3.5654000e+001  1.0228497e+003
 -6.5000000e+000  2.8108000e+001  3.5656000e+001  1.0228548e+003
 -7.0000000e+000  2.8100000e+001  3.5660000e+001  1.0228605e+003
 -7.5000000e+000  2.8075000e+001  3.5655000e+001  1.0228649e+003
 -8.0000000e+000  2.8043000e+001  3.5659000e+001  1.0228784e+003
 -8.5000000e+000  2.7992000e+001  3.5647000e+001  1.0228861e+003
