% Início da serie dia 22/08às 08:00 horas
% Caravelas - Estação A - Quadratura 
  1.0500000e+001 -9.0000000e-001  2.4950657e+001  3.6501566e+001  1.0245421e+003 -1.7206278e-001  4.3599215e-002
  1.0500000e+001 -1.0000000e+000  2.4950000e+001  3.6510000e+001  1.0245541e+003  0.0000000e+000  0.0000000e+000
  1.1000000e+001  0.0000000e+000  2.4730000e+001  3.5000000e+001  1.0234248e+003  5.2976856e-002  2.8168294e-002
  1.1000000e+001 -1.0000000e-001  2.4836564e+001  3.5477006e+001  1.0237587e+003  6.0051167e-002  3.4496485e-002
  1.1000000e+001 -2.0000000e-001  2.4952044e+001  3.5919137e+001  1.0240634e+003  5.1196827e-002  9.9483135e-003
  1.1000000e+001 -3.0000000e-001  2.5004209e+001  3.6124321e+001  1.0242082e+003  5.5165412e-002 -1.7641774e-002
  1.1000000e+001 -4.0000000e-001  2.5037843e+001  3.6212751e+001  1.0242702e+003 -1.2210116e-002  1.8622058e-002
  1.1000000e+001 -5.0000000e-001  2.4926004e+001  3.6314058e+001  1.0243864e+003 -5.5398665e-002 -8.8349264e-003
  1.1000000e+001 -6.0000000e-001  2.4898183e+001  3.6378505e+001  1.0244491e+003 -7.2261654e-002  1.3016369e-002
  1.1000000e+001 -7.0000000e-001  2.4916926e+001  3.6506491e+001  1.0245457e+003 -9.1957338e-002 -4.5392005e-003
  1.1000000e+001 -8.0000000e-001  2.4929935e+001  3.6524480e+001  1.0245607e+003 -7.2424429e-002  4.7329172e-002
  1.1000000e+001 -9.0000000e-001  2.4938043e+001  3.6535418e+001  1.0245719e+003 -7.1247116e-002  3.5138442e-002
  1.1000000e+001 -1.0000000e+000  2.4940000e+001  3.6560000e+001  1.0245954e+003  0.0000000e+000  0.0000000e+000
  1.1500000e+001  0.0000000e+000  2.4840000e+001  3.5050000e+001  1.0234294e+003  1.1346223e-001  3.9068179e-002
  1.1500000e+001 -1.0000000e-001  2.4900312e+001  3.4888145e+001  1.0232942e+003  1.0400489e-001  5.0430144e-002
  1.1500000e+001 -2.0000000e-001  2.4890847e+001  3.5203345e+001  1.0235409e+003  1.7222083e-001  6.8508459e-003
  1.1500000e+001 -3.0000000e-001  2.4989616e+001  3.6013197e+001  1.0241287e+003  2.0949524e-001  2.5457304e-002
  1.1500000e+001 -4.0000000e-001  2.5020558e+001  3.6167102e+001  1.0242411e+003  1.9918636e-001  1.3797096e-002
  1.1500000e+001 -5.0000000e-001  2.5003561e+001  3.6269374e+001  1.0243291e+003  1.5132292e-001 -6.8395618e-004
  1.1500000e+001 -6.0000000e-001  2.4967020e+001  3.6345206e+001  1.0244031e+003  9.3788393e-002 -1.9254434e-002
  1.1500000e+001 -7.0000000e-001  2.4941766e+001  3.6413659e+001  1.0244681e+003  4.5864504e-002 -1.9769851e-002
  1.1500000e+001 -8.0000000e-001  2.4929648e+001  3.6486952e+001  1.0245327e+003  2.0529005e-002 -1.0607399e-002
  1.1500000e+001 -9.0000000e-001  2.4919901e+001  3.6558881e+001  1.0245956e+003  1.2893861e-002  3.6563011e-003
  1.1500000e+001 -1.0000000e+000  2.4920000e+001  3.6580000e+001  1.0246171e+003  0.0000000e+000  0.0000000e+000
  1.2000000e+001  0.0000000e+000  2.5000000e+001  3.5400000e+001  1.0236454e+003  9.8162718e-002 -1.9080900e-002
  1.2000000e+001 -1.0000000e-001  2.4985347e+001  3.5286345e+001  1.0235694e+003  8.6275138e-002 -1.8873965e-002
  1.2000000e+001 -2.0000000e-001  2.4969841e+001  3.5308312e+001  1.0235964e+003  1.3200984e-001 -7.5600621e-003
  1.2000000e+001 -3.0000000e-001  2.4979800e+001  3.5680502e+001  1.0238802e+003  1.6897958e-001 -1.0010304e-002
  1.2000000e+001 -4.0000000e-001  2.5003629e+001  3.6130683e+001  1.0242189e+003  1.6838720e-001  4.6455723e-003
  1.2000000e+001 -5.0000000e-001  2.4992545e+001  3.6140757e+001  1.0242354e+003  1.0153340e-001  4.0284555e-002
  1.2000000e+001 -6.0000000e-001  2.4983224e+001  3.6310895e+001  1.0243724e+003  1.0322169e-001  2.3931594e-002
  1.2000000e+001 -7.0000000e-001  2.4950367e+001  3.6388427e+001  1.0244466e+003  6.6354954e-002 -4.2979438e-002
  1.2000000e+001 -8.0000000e-001  2.4931521e+001  3.6501127e+001  1.0245432e+003  1.1168227e-002 -2.6599450e-002
  1.2000000e+001 -9.0000000e-001  2.4920150e+001  3.6535926e+001  1.0245786e+003  4.6638718e-003 -2.1519184e-002
  1.2000000e+001 -1.0000000e+000  2.4920000e+001  3.6580000e+001  1.0246174e+003  0.0000000e+000  0.0000000e+000
  1.2500000e+001  0.0000000e+000  2.5070000e+001  3.5040000e+001  1.0233520e+003  8.2903757e-002 -5.5919290e-002
  1.2500000e+001 -1.0000000e-001  2.5071450e+001  3.4976139e+001  1.0233089e+003  8.3248510e-002 -6.2216768e-002
  1.2500000e+001 -2.0000000e-001  2.5069779e+001  3.4979194e+001  1.0233172e+003  9.3956769e-002 -5.8494896e-002
  1.2500000e+001 -3.0000000e-001  2.5058628e+001  3.5023376e+001  1.0233595e+003  1.4827572e-001 -5.6137219e-002
  1.2500000e+001 -4.0000000e-001  2.4956460e+001  3.5803584e+001  1.0239860e+003  1.8643367e-001 -1.6377701e-002
  1.2500000e+001 -5.0000000e-001  2.4998956e+001  3.6095805e+001  1.0241996e+003  1.3557617e-001 -3.2228691e-002
  1.2500000e+001 -6.0000000e-001  2.4989020e+001  3.6243284e+001  1.0243197e+003  1.1509485e-001 -2.7234310e-002
  1.2500000e+001 -7.0000000e-001  2.4990019e+001  3.6320998e+001  1.0243837e+003  9.9815705e-002 -3.6571553e-002
  1.2500000e+001 -8.0000000e-001  2.4936948e+001  3.6463729e+001  1.0245134e+003  8.7652662e-002  1.6146582e-002
  1.2500000e+001 -9.0000000e-001  2.4938586e+001  3.6521601e+001  1.0245622e+003  4.5976348e-002 -1.1409344e-002
  1.2500000e+001 -1.0000000e+000  2.4930000e+001  3.6580000e+001  1.0246146e+003  0.0000000e+000  0.0000000e+000
  1.3000000e+001  0.0000000e+000  2.4750000e+001  3.4510000e+001  1.0230484e+003  1.3106433e-001 -9.1772230e-002
  1.3000000e+001 -1.0000000e-001  2.4859763e+001  3.4407754e+001  1.0229435e+003  1.3518505e-001 -1.0386304e-001
  1.3000000e+001 -2.0000000e-001  2.4859392e+001  3.4417907e+001  1.0229569e+003  1.8104808e-001 -8.8396243e-002
  1.3000000e+001 -3.0000000e-001  2.4844034e+001  3.4473567e+001  1.0230092e+003  2.3766424e-001 -2.1392950e-002
  1.3000000e+001 -4.0000000e-001  2.5004463e+001  3.6175748e+001  1.0242529e+003  2.7462193e-001  2.4280066e-002
  1.3000000e+001 -5.0000000e-001  2.5010061e+001  3.6150163e+001  1.0242374e+003  2.7827766e-001  4.6370518e-003
  1.3000000e+001 -6.0000000e-001  2.4999228e+001  3.6180498e+001  1.0242693e+003  2.7121270e-001  2.3908804e-002
  1.3000000e+001 -7.0000000e-001  2.5011614e+001  3.6267912e+001  1.0243372e+003  2.0882780e-001  1.8781415e-002
  1.3000000e+001 -8.0000000e-001  2.5013900e+001  3.6343294e+001  1.0243990e+003  1.7868427e-001  1.2796431e-002
  1.3000000e+001 -9.0000000e-001  2.4966202e+001  3.6443799e+001  1.0244952e+003  1.4518389e-001  1.3923857e-002
  1.3000000e+001 -1.0000000e+000  2.4950000e+001  3.6550000e+001  1.0245861e+003  0.0000000e+000  0.0000000e+000
  1.3500000e+001  0.0000000e+000  2.4720000e+001  3.4230000e+001  1.0228458e+003  2.7995735e-001 -4.8866738e-003
  1.3500000e+001 -1.0000000e-001  2.4868714e+001  3.4189476e+001  1.0227760e+003  2.8080416e-001 -1.6765207e-003
  1.3500000e+001 -2.0000000e-001  2.4881398e+001  3.4245846e+001  1.0228203e+003  2.6747622e-001 -2.0709557e-002
  1.3500000e+001 -3.0000000e-001  2.4906391e+001  3.4883262e+001  1.0233001e+003  2.9835657e-001  3.1358539e-002
  1.3500000e+001 -4.0000000e-001  2.4989075e+001  3.5846300e+001  1.0240086e+003  2.7457033e-001  5.2376085e-002
  1.3500000e+001 -5.0000000e-001  2.5000000e+001  3.6000000e+001  1.0241270e+003  2.4116497e-001  1.0838509e-002
  1.3500000e+001 -6.0000000e-001  2.4982653e+001  3.6092600e+001  1.0242080e+003  2.4038657e-001 -8.9443835e-003
  1.3500000e+001 -7.0000000e-001  2.4959712e+001  3.6184215e+001  1.0242899e+003  1.5934174e-001  5.0780105e-003
  1.3500000e+001 -8.0000000e-001  2.4988793e+001  3.6360717e+001  1.0244200e+003  8.8033284e-002 -1.8712052e-002
  1.3500000e+001 -9.0000000e-001  2.4964712e+001  3.6454760e+001  1.0245042e+003  7.9860553e-003 -8.3438901e-003
  1.3500000e+001 -1.0000000e+000  2.4940000e+001  3.6570000e+001  1.0246045e+003  0.0000000e+000  0.0000000e+000
  1.4000000e+001  0.0000000e+000  2.4760000e+001  3.4050000e+001  1.0226977e+003  2.6995888e-001 -4.7121497e-003
  1.4000000e+001 -1.0000000e-001  2.4908747e+001  3.4067902e+001  1.0226720e+003  2.6800097e-001 -8.6147266e-003
  1.4000000e+001 -2.0000000e-001  2.4929812e+001  3.4088495e+001  1.0226868e+003  3.1173951e-001 -4.2259006e-002
  1.4000000e+001 -3.0000000e-001  2.4948529e+001  3.4105115e+001  1.0226993e+003  3.0970613e-001 -1.0984718e-002
  1.4000000e+001 -4.0000000e-001  2.4906415e+001  3.4816621e+001  1.0232552e+003  3.2087874e-001  4.8960004e-002
  1.4000000e+001 -5.0000000e-001  2.4920567e+001  3.5825382e+001  1.0240192e+003  2.8429425e-001  2.7061261e-002
  1.4000000e+001 -6.0000000e-001  2.4967770e+001  3.6062154e+001  1.0241894e+003  2.5018509e-001  1.6852208e-002
  1.4000000e+001 -7.0000000e-001  2.4959108e+001  3.6136592e+001  1.0242539e+003  2.1458952e-001  5.6032091e-003
  1.4000000e+001 -8.0000000e-001  2.4950932e+001  3.6192178e+001  1.0243041e+003  1.8055409e-001 -3.6356694e-003
  1.4000000e+001 -9.0000000e-001  2.4962987e+001  3.6251525e+001  1.0243509e+003  1.2185915e-001 -6.3043857e-003
  1.4000000e+001 -1.0000000e+000  2.4970000e+001  3.6320000e+001  1.0244061e+003  0.0000000e+000  0.0000000e+000
  1.4500000e+001  0.0000000e+000  2.4650000e+001  3.4390000e+001  1.0229877e+003  2.5679897e-001 -4.0672961e-002
  1.4500000e+001 -1.0000000e-001  2.4967947e+001  3.3948316e+001  1.0225637e+003  2.5579509e-001 -4.1397108e-002
  1.4500000e+001 -2.0000000e-001  2.5004199e+001  3.4160907e+001  1.0227190e+003  2.4338292e-001 -2.8812314e-002
  1.4500000e+001 -3.0000000e-001  2.5064740e+001  3.4413646e+001  1.0228971e+003  2.4937660e-001 -1.3368395e-002
  1.4500000e+001 -4.0000000e-001  2.4920906e+001  3.5004363e+001  1.0233927e+003  2.8958082e-001  2.8766791e-002
